FP016038 RIBC1_1
FP011565 ZFAND6_1
FP010479 NHLRC3_1
FP007791 BARHL1_1
FP003370 KLF15_1
FP010977 FAM161B_1
FP005794 VNN2_1
FP006006 PHF14_1
FP014918 DSTN_1
FP000880 SLC22A15_1
FP000638 WDR78_1
FP001489 C4BPA_1
FP010471 EXOSC8_1
FP000351 DCDC2B_1
FP013128 DHX40_1
FP007900 DIP2C_1
FP015984 TBC1D25_1
FP002156 LYG2_1
FP007147 KLHL38_1
FP008102 ANK3_1
FP011981 NFATC2IP_1
FP012629 UBB_1
FP010318 MLXIP_1
FP015082 L3MBTL1_1
FP003408 PIK3R4_1
FP005234 PGBD1_1
FP008384 TAF5_1
FP003213 ROBO2_1
FP007404 TMEM8B_1
FP012836 PLXDC1_1
FP001715 TAF1B_1
FP006245 STYXL1_1
FP005448 TREML1_1
FP010150 SPIC_1
FP008176 USP54_1
FP004121 PAPSS1_1
FP011609 MFGE8_1
FP016174 ZMAT1_1
FP011662 LINS1_1
FP013984 PTGER1_1
FP003022 CDC25A_1
FP015907 CXorf58_1
FP008212 MAT1A_1
FP005756 HSF2_1
FP009070 BBS1_1
FP011688 MRPL28_1
FP003225 ARL13B_1
FP006287 STEAP2_1
FP004580 ANKDD1B_1
FP013598 CCDC102B_1
FP000471 CLDN19_1
FP004483 PARP8_1
FP014095 NR2C2AP_1
FP000704 ZNHIT6_1
FP000362 RBBP4_1
FP011956 IL4R_1
FP009966 HSD17B6_1
FP003857 UBE2K_1
FP002763 PPP1R7_1
FP006211 TRIM50_1
FP001005 LCE2D_1
FP004738 SLC22A4_1
