FP000415 snrpb2_1
FP009481 rnf41_1
FP006365 cers2b_1
FP007948 gatad1_1
FP003708 lmx1bb_1
FP003289 cdh1_1
FP008880 zgc:153675_1
FP005868 gpr137_1
FP000793 wu:fc19g04_1
FP006974 si:ch73-56p18.4_1
FP004927 foxk2_1
FP001692 klhdc10_1
FP003471 pim2_1
FP008320 vash2_1
FP004096 SENP7-2_1
FP002959 zgc:113413_1
FP007552 ube2q1_1
FP000981 BTBD2_1
FP004333 hvcn1_1
FP009239 rbm38_1
FP000806 cenpl_1
FP007295 mical3a_1
FP007788 si:dkey-119m17.2_1
FP002088 ehmt1a_1
FP005610 si:ch211-67f13.8_1
FP001425 qtrt1_1
FP002972 sdhaf2_1
FP001198 C3H17orf75_1
FP010123 kras_1
FP005197 ablim1b_1
FP005681 tmem50a_1
FP009357 ephb2a_1
FP007157 ITPK1-2_1
FP005779 mgat4b_1
FP000272 gtf2f2a_1
FP004536 supt20_1
FP008029 C20H1orf131_1
FP000142 kitb_1
FP002828 capza1a_1
FP009742 ropn1l_1
FP009457 phip_1
FP003600 b3gnt7l_1
FP003037 tnfsf10l_1
FP002008 CWC15_1
FP005527 inaa_1
FP006179 a2ml_1
FP003269 BX957362.1_1
FP008275 arpc5b_1
FP007249 fam168a_1
FP005353 tnfaip2b-1_1
FP000060 eng1b_1
FP005949 pitx2_1
FP005502 mcmbp_1
FP001910 paip1_1
FP008021 ppil4_1
FP000840 hiat1a_1
FP001560 nampta_1
FP001761 golgb1_1
FP001370 flii_1
FP008179 nrbp1_1
FP009107 aars2_1
FP000761 chmp5a_1
FP009878 vapa_1
FP002410 mepce_1
FP005440 TMEM150A-4_1
FP007987 slc16a10_1
FP002749 arhgef25b_1
FP008285 SLC25A24_1
FP002424 gtf2h3_1
FP008887 lmnb2_1
FP008857 mrpl20_1
FP001626 hsp90b1_1
FP005451 mxtx1_1
FP005349 ppm1g_1
FP002256 si:ch211-130m23.2_1
FP009763 ZDHHC20-2_1
FP005375 tm9sf3_1
FP007622 gsk3aa_1
FP006632 tnfaip8l2b_1
FP006092 tnfrsf19_1
FP002206 si:dkey-58f10.7-1_1
FP003493 traf1_1
FP001999 C5HXorf57_1
FP006371 cdcp1a_1
FP007877 spire1a_1
FP001960 poli_1
FP000686 pkn2_1
FP005684 marcksl1a_1
FP008433 faua_1
FP001197 pigq_1
FP009473 plagx_1
FP007652 pygo2_1
FP001441 slc27a1a_1
FP006257 dharma_1
FP002056 zgc:86811_1
FP001606 samm50l_1
FP009660 lztfl1_1
FP007717 stmn1a_1
FP005605 agpat4_1
FP007723 GTF3A-2_1
FP006997 ptena_1
FP000036 atp1a1a.3_1
FP004796 kdm5ba_1
FP009902 rccd1-1_1
FP006180 usf1_1
FP007880 triqk_1
FP004051 pgap1_1
FP007227 fam98b_1
FP009100 dnal4b_1
FP001872 cux2a_1
FP004166 dnajc28_1
FP000386 HERC5-2_1
FP008924 si:dkey-15h8.5_1
FP002208 mrpl1_1
FP002309 FDXACB1_1
FP001294 NBR1-2_1
FP003008 ovol1_1
FP001090 mrps34_1
FP004773 TAF4-2_1
FP008422 WASF1_1
FP004785 optc_1
FP000781 fam49ba_1
FP005767 GLOD5_1
FP005391 ube2d3_1
FP005944 pttg1_1
FP004896 errfi1_1
FP000809 tnw_1
FP008069 dtl_1
FP009671 ncoa2_1
FP006424 ncalda_1
FP000173 lphn3.1_1
FP003161 tipin_1
FP007599 thrap3b_1
FP003192 arhgap1_1
FP004996 phyhiplb_1
FP002328 tmem203_1
FP009793 abca4a_1
FP005538 dnajb12a_1
FP000456 khsrp_1
FP005413 flh_1
FP007828 sh3bgrl3_1
FP005505 si:dkey-192p21.6_1
FP001454 xab2_1
FP006320 cab39_1
FP000994 mau2_1
